<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;30;20210715;213000;280.1000000;280.6000000;280.0000000;280.5900000;126.900
GAZP;30;20210715;220000;280.5900000;280.9800000;280.4500000;280.9500000;169.630
GAZP;30;20210715;223000;280.9500000;281.1000000;280.4000000;280.5200000;206.560
GAZP;30;20210715;230000;280.4300000;280.8000000;280.2300000;280.3100000;101.670
GAZP;30;20210715;233000;280.3100000;280.3900000;280.1000000;280.2400000;96.680
GAZP;30;20210716;000000;280.3500000;280.4100000;280.0100000;280.0100000;91.990
GAZP;30;20210716;103000;279.3800000;280.2900000;278.1400000;278.7300000;2.975.130
GAZP;30;20210716;110000;278.7200000;281.6500000;278.5600000;281.0600000;2.544.150
GAZP;30;20210716;113000;281.0600000;281.2800000;280.5200000;280.9300000;1.979.860
GAZP;30;20210716;120000;280.9300000;281.9200000;280.9000000;281.7700000;1.788.550
GAZP;30;20210716;123000;281.7700000;281.9700000;281.2500000;281.9300000;1.931.920
GAZP;30;20210716;130000;281.8500000;282.0000000;281.2000000;281.2600000;1.600.620
GAZP;30;20210716;133000;281.2600000;281.3700000;280.5000000;280.5500000;1.101.830
GAZP;30;20210716;140000;280.5500000;280.9000000;280.5400000;280.8100000;512.200
GAZP;30;20210716;143000;280.8100000;280.9200000;280.6300000;280.8100000;305.460
